"Entity";"Code";"Year";"waste";"Waste.total.or.missmanaged";"totalPop";"gdp";"wasteYear"
"94";"Netherlands";"NLD";2010;0.008;"missmanaged";16612988;"455.246.621.425.733";2.92
"95";"New Zealand";"NZL";2010;0.007;"missmanaged";4368136;"321.192.155.430.773";2.555
"96";"Nicaragua";"NIC";2010;0.066;"missmanaged";5788163;"402.871.208.738.128";24.09
"97";"Nigeria";"NGA";2010;0.085;"missmanaged";158423182;"515.015.881.822.763";31.025
"98";"Norway";"NOR";2010;0.006;"missmanaged";4883111;"623.504.107.068.751";2.19
"99";"Oman";"OMN";2010;0.005;"missmanaged";2782435;"453.358.525.168.436";1.825
"100";"Pakistan";"PAK";2010;0.09;"missmanaged";173593383;"428.360.731.163.635";32.85
"101";"Palau";"PLW";2010;0.084;"missmanaged";20472;"118.465.739.334.318";30.66
"102";"Palestine";"PSE";2010;0.005;"missmanaged";NA;"417.274.568.921.544";1.825
"103";"Panama";"PAN";2010;0.029;"missmanaged";3516820;"156.285.922.438.738";10.585
"104";"Papua New Guinea";"PNG";2010;0.09;"missmanaged";6858266;"319.158.041.028.301";32.85
"105";"Peru";"PER";2010;0.039;"missmanaged";29076512;"995.655.663.668.307";14.235
"106";"Philippines";"PHL";2010;0.062;"missmanaged";93260798;"559.683.728.794.962";22.63
"107";"Poland";"POL";2010;0.013;"missmanaged";38276660;"217.706.444.359.772";4.745
"108";"Portugal";"PRT";2010;0.005;"missmanaged";10675572;"272.384.606.724.422";1.825
"109";"Puerto Rico";"PRI";2010;0.011;"missmanaged";3749009;"339.240.540.101.397";4.015
"110";"Qatar";"QAT";2010;0.003;"missmanaged";1758793;"125.140.838.348.001";1.095
"111";"Romania";"ROU";2010;0.011;"missmanaged";21486371;"175.532.832.966.444";4.015
"112";"Russia";"RUS";2010;0.02;"missmanaged";142958164;"231.077.852.212.759";7.3
"113";"Saint Kitts and Nevis";"KNA";2010;0.054;"missmanaged";52402;"21.412.201.453.108";19.71
"114";"Saint Lucia";"LCA";2010;0.113;"missmanaged";174267;"121.238.351.390.475";41.245
"115";"Saint Vincent and the Grenadines";"VCT";2010;0.051;"missmanaged";109333;"991.557.761.891.195";18.615
"116";"Samoa";"WSM";2010;0.084;"missmanaged";183081;"539.989.309.631.838";30.66
"117";"Sao Tome and Principe";"STP";2010;0.085;"missmanaged";165397;"264.151.394.847.294";31.025
"118";"Saudi Arabia";"SAU";2010;0.016;"missmanaged";27448086;"454.212.284.797.446";5.84
"119";"Senegal";"SEN";2010;0.086;"missmanaged";12433728;"218.399.505.141.766";31.39
"120";"Seychelles";"SYC";2010;0.139;"missmanaged";86518;"203.651.189.331.513";50.735
"121";"Sierra Leone";"SLE";2010;0.035;"missmanaged";5867536;"119.998.985.027.502";12.775
"122";"Singapore";"SGP";2010;0.004;"missmanaged";5086418;"721.158.395.014.504";1.46
"123";"Slovenia";"SVN";2010;0.005;"missmanaged";2029680;"286.783.726.303.687";1.825
"124";"Solomon Islands";"SLB";2010;0.09;"missmanaged";538148;"187.136.935.209.356";32.85
"125";"South Africa";"ZAF";2010;0.134;"missmanaged";50132817;"118.878.050.343.927";48.91
"126";"South Korea";"KOR";2010;0.001;"missmanaged";48183584;"303.521.048.190.303";0.365
"127";"Spain";"ESP";2010;0.006;"missmanaged";46076989;"325.070.939.660.629";2.19
"128";"Sri Lanka";"LKA";2010;0.299;"missmanaged";20859949;"852.957.144.219.453";109.135
"129";"Sudan";"SDN";2010;0.083;"missmanaged";34136520;"336.609.626.107.549";30.295
"130";"Suriname";"SUR";2010;0.027;"missmanaged";524636;"142.118.775.163.255";9.855
"131";"Sweden";"SWE";2010;0.001;"missmanaged";9379687;"429.425.625.032.962";0.365
