Entity;Code;Year;Per capita mismanaged plastic waste (kilograms per person per day);Waste total or missmanaged;Total population (Gapminder);GDP per capita, PPP (constant 2011 international $) (constant 2011 international $)
Sao Tome and Principe;STP;2010;0.085;missmanaged;165397;264.151.394.847.294
Saudi Arabia;SAU;2010;0.016;missmanaged;27448086;454.212.284.797.446
Senegal;SEN;2010;0.086;missmanaged;12433728;218.399.505.141.766
Seychelles;SYC;2010;0.139;missmanaged;86518;203.651.189.331.513
Sierra Leone;SLE;2010;0.035;missmanaged;5867536;119.998.985.027.502
Singapore;SGP;2010;0.004;missmanaged;5086418;721.158.395.014.504
Slovenia;SVN;2010;0.005;missmanaged;2029680;286.783.726.303.687
Solomon Islands;SLB;2010;0.09;missmanaged;538148;187.136.935.209.356
South Africa;ZAF;2010;0.134;missmanaged;50132817;118.878.050.343.927
South Korea;KOR;2010;0.001;missmanaged;48183584;303.521.048.190.303
Spain;ESP;2010;0.006;missmanaged;46076989;325.070.939.660.629
Sri Lanka;LKA;2010;0.299;missmanaged;20859949;852.957.144.219.453
Sudan;SDN;2010;0.083;missmanaged;34136520;336.609.626.107.549
Suriname;SUR;2010;0.027;missmanaged;524636;142.118.775.163.255
Sweden;SWE;2010;0.001;missmanaged;9379687;429.425.625.032.962
Tanzania;TZA;2010;0.02;missmanaged;44841226;209.058.322.467.574
Thailand;THA;2010;0.108;missmanaged;69122234;134.865.624.149.548
Togo;TGO;2010;0.049;missmanaged;6027798;12.082.812.098.328
Tonga;TON;2010;0.176;missmanaged;104058;498.419.362.951.029
Trinidad and Tobago;TTO;2010;0.19;missmanaged;1341465;312.609.070.471.763
Tunisia;TUN;2010;0.088;missmanaged;10480934;104.363.655.998.628
Turkey;TUR;2010;0.039;missmanaged;72752325;179.592.591.065.745
Tuvalu;TUV;2010;0.108;missmanaged;9827;298.644.985.588.888
Ukraine;UKR;2010;0.052;missmanaged;45448329;782.449.845.171.438
United Arab Emirates;ARE;2010;0.004;missmanaged;7511690;572.326.180.757.649
United Kingdom;GBR;2010;0.004;missmanaged;62035570;363.669.831.782.522
United States;USA;2010;0.007;missmanaged;310383948;493.741.788.851.797
Uruguay;URY;2010;0.024;missmanaged;3368786;170.824.046.586.765
Vanuatu;VUT;2010;0.245;missmanaged;239651;294.803.293.729.183
Venezuela;VEN;2010;0.017;missmanaged;28979857;165.449.720.552.598
Vietnam;VNM;2010;0.09;missmanaged;87848445;440.816.861.192.198
Yemen;YEM;2010;0.077;missmanaged;NA;44.787.435.991.429
Albania;ALB;2010;0.069;total;3204284;992.718.184.117.512
Algeria;DZA;2010;0.144;total;35468208;128.706.026.985.154
Angola;AGO;2010;0.062;total;19081912;589.768.284.059.848
Antigua and Barbuda;ATG;2010;0.66;total;88710;192.127.201.307.541
Argentina;ARG;2010;0.183;total;40412376;187.120.630.773.436
Australia;AUS;2010;0.112;total;22268384;414.640.400.696.359
Bahamas;BHS;2010;0.39;total;342877;292.219.911.816.149
Bahrain;BHR;2010;0.132;total;1261835;405.705.356.928.307
Bangladesh;BGD;2010;0.034;total;148692131;244.272.888.765.696
Barbados;BRB;2010;0.57;total;273331;164.179.624.523.108
Belgium;BEL;2010;0.08;total;10712066;410.859.189.401.366
Belize;BLZ;2010;0.172;total;311627;787.680.958.597.644
Benin;BEN;2010;0.043;total;8849892;181.877.846.075.906
Bermuda;BMU;2010;0.252;total;64941;563.950.078.003.539
Bosnia and Herzegovina;BIH;2010;0.144;total;3760149;972.034.217.718.095
Brazil;BRA;2010;0.165;total;194946470;145.375.671.930.903
Brunei;BRN;2010;0.026;total;398920;805.528.644.713.138
Bulgaria;BGR;2010;0.154;total;7494332;152.832.914.751.664
Cambodia;KHM;2010;0.066;total;14138255;252.292.682.475.402
Cameroon;CMR;2010;0.046;total;19598889;292.982.911.281.962
Canada;CAN;2010;0.093;total;34016593;406.993.551.293.841
Cape Verde;CPV;2010;0.065;total;495999;582.824.158.804.338
Chile;CHL;2010;0.119;total;17113688;194.420.503.154.635
China;CHN;2010;0.121;total;1341335152;952.581.848.339.164
Colombia;COL;2010;0.144;total;46294841;109.005.052.821.616
Comoros;COM;2010;0.201;total;734750;141.250.268.663.997
Congo;COG;2010;0.069;total;4042899;518.634.478.845.194
Costa Rica;CRI;2010;0.258;total;4658887;129.999.921.931.442
Cote d'Ivoire;CIV;2010;0.103;total;19737800;269.025.800.198.952
Croatia;HRV;2010;0.252;total;4403330;201.719.575.294.867
Cyprus;CYP;2010;0.248;total;1103647;339.411.380.158.355
Democratic Republic of Congo;COD;2010;0.045;total;65965795;660.210.955.818.272
Denmark;DNK;2010;0.047;total;5550142;439.984.366.716.285
Dominica;DMA;2010;0.149;total;67757;101.982.733.729.326
Dominican Republic;DOM;2010;0.144;total;9927320;111.325.526.905.467
Ecuador;ECU;2010;0.147;total;14464739;935.234.423.681.593
Egypt;EGY;2010;0.178;total;81121077;985.746.828.190.066
El Salvador;SLV;2010;0.147;total;6192993;630.077.538.777.337
Equatorial Guinea;GNQ;2010;0.144;total;700401;337.233.658.030.152
Eritrea;ERI;2010;0.045;total;5253676;141.636.580.154.238
Estonia;EST;2010;0.176;total;1341140;227.409.720.038.708
Fiji;FJI;2010;0.189;total;860623;735.208.836.002.372
Finland;FIN;2010;0.234;total;5364546;398.481.344.978.775
France;FRA;2010;0.192;total;62787427;368.558.446.824.064
Gabon;GAB;2010;0.054;total;1505463;153.557.846.497.731
Gambia;GMB;2010;0.048;total;1728394;164.424.236.613.493
Georgia;GEO;2010;0.068;total;4352244;673.378.376.130.988
Germany;DEU;2010;0.485;total;82302465;404.287.210.307.617
Ghana;GHA;2010;0.04;total;24391823;305.938.362.640.541
Greece;GRC;2010;0.2;total;11359346;287.260.792.836.873
Grenada;GRD;2010;0.325;total;104487;111.779.997.155.594
Guatemala;GTM;2010;0.28;total;14388929;67.140.635.955.465
Guinea;GIN;2010;0.03;total;9981590;157.354.495.756.823
Guinea-Bissau;GNB;2010;0.054;total;1515224;140.036.329.312.665
Guyana;GUY;2010;0.586;total;754493;584.785.725.499.679
Haiti;HTI;2010;0.09;total;9993247;150.203.271.141.224
Honduras;HND;2010;0.189;total;7600524;397.118.299.352.727
Hong Kong;HKG;2010;0.398;total;7053189;481.077.086.333.279
Iceland;ISL;2010;0.281;total;320136;389.780.055.953.415
India;IND;2010;0.01;total;1224614327;440.469.700.530.387
Indonesia;IDN;2010;0.057;total;239870937;843.349.735.678.452
